LoanPurpose_Debt_Consolidation,LoanPurpose_Education,LoanPurpose_Home,LoanPurpose_Other,credit.policy,int.rate,MonthlyDebtPayments,LogAnnualIncome,dti,LengthOfCreditHistory,revol.bal,CreditCardUtilizationRate,inq.last.6mths,PreviousLoanDefaults,pub.rec,HasBankruptcy,fully.paid
1.0,0.0,0.0,0.0,1,-0.1393175250262563,2.4630994696844417,0.6803880351133867,0.9985052879745594,0.3667734693365654,0.3537324453727742,0.182703688134361,-0.7169889396237944,0,-0.2370031753165423,0,1
0.0,0.0,0.0,1.0,1,-0.5788683747896028,-0.4388544264934084,0.2440307951548578,0.2445404535805795,-0.6551137491283348,0.4950176152331965,1.0306023146220764,-0.7169889396237944,0,-0.2370031753165423,0,1
1.0,0.0,0.0,0.0,1,0.4864836848063038,0.2307083616940786,-0.9086589710192416,-0.1418846831223076,0.0748056926323082,-0.3970727674124389,-0.7306830436511862,-0.262470436498723,0,-0.2370031753165423,0,1
1.0,0.0,0.0,0.0,1,-0.8135438284768132,-0.7570223180527825,0.6803880351133867,-0.6546969885964404,-0.8010976374804634,0.4963211479389752,0.9099663311787022,-0.262470436498723,0,-0.2370031753165423,0,1
0.0,0.0,0.0,1.0,1,0.7435091817018206,-1.0439915972947074,0.5979614012411698,0.3433258268730472,-0.2171620840719489,-0.360662728880575,-0.251585852261786,-0.7169889396237944,1,-0.2370031753165423,0,1
0.0,0.0,0.0,1.0,1,-1.6330454127813574,-0.9367282568039106,1.582434976680963,0.6353237685169584,0.6587412460408226,1.004106388326402,0.1447895219093005,-0.7169889396237944,0,-0.2370031753165423,0,1
1.0,0.0,0.0,0.0,1,1.0042596857987212,-0.6040235505269632,-0.3541090076012163,-1.250314680506906,-0.5091298607762061,-0.387355523605725,1.034049057006173,-0.7169889396237944,0,3.5781504602831933,1,0
0.0,0.0,0.0,1.0,1,-0.4186930651300784,-0.907316561910216,0.1138336113494527,-0.2217846174029799,0.2207895809844368,0.2164467508596274,0.7514161815102675,-0.7169889396237944,0,-0.2370031753165423,0,0
0.0,0.0,1.0,0.0,1,-0.3441929211023925,-1.1199597353370414,0.7733616989585336,0.6745473726183793,-0.2171620840719489,1.570017337094233,0.1482362642933969,-0.262470436498723,0,-0.2370031753165423,0,1
1.0,0.0,0.0,0.0,1,-0.0201172945819592,-1.1347863204476558,-1.185016137577467,-0.3786790338086636,-0.8010976374804634,-0.3342958173318697,-0.8202983456376928,-0.262470436498723,0,-0.2370031753165423,0,1
